baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G12244	1879.79730092314	1.41025207507042	0.306838029740431	4.59607981534565	4.30513843062436e-06	0.000198611186610248
AT1G12370	1853.23307298815	1.77546220718641	0.230380011173364	7.70666777097409	1.29145425965461e-14	3.99626346152147e-12
AT1G12570	46.9880914991074	3.37427970916296	0.720258212998959	4.68481948315922	2.80206779531061e-06	0.000136467693355492
AT1G12600	738.889261961545	-1.02477692086622	0.337724694027571	-3.03435590878812	0.00241049872462581	0.0353201061244899
AT1G13200	890.860416147603	-1.13851144394457	0.221222273517618	-5.14645937699354	2.65448915001737e-07	1.78187851038468e-05
AT1G13670	977.093232021306	1.02565451535873	0.28056399637812	3.65568828716156	0.000256492868627386	0.00610530023316257
AT1G14048	153.644296291659	-1.4076086928391	0.24904439351052	-5.65203927298867	1.58555350540188e-08	1.47911156787012e-06
AT1G14540	5915.71723910128	-1.63380980656037	0.429823448010578	-3.801118375748	0.000144044460895148	0.00379147733480651
AT1G15680	1310.35001021626	-1.02567587439417	0.141009279565443	-7.27381827320201	3.49466044134757e-13	8.5262994268032e-11
AT1G16090	7922.39296168634	-1.48129227961041	0.351424174670161	-4.21511206791826	2.49654186235553e-05	0.000896000752693199
AT1G16720	19731.2854021745	1.36513382983576	0.341628606334269	3.99595878250324	6.44329446450557e-05	0.00198412807939763
AT1G16730	1453.12591955822	1.34126754201804	0.280188868928848	4.78701222909266	1.69282522792373e-06	8.8931153899248e-05
AT1G16750	1824.49580472549	1.01918906092281	0.279834382936071	3.64211520481972	0.000270407001373222	0.00633385455251306
AT1G17050	7081.42938231469	1.33605207586147	0.284565076052771	4.69506692245577	2.66519454814813e-06	0.000130301823631427
AT1G17100	13182.2419240118	1.18141414610795	0.302163666143679	3.90984846452778	9.23540392114302e-05	0.00264192941482619
AT1G17170	5342.01025707663	1.29362059776255	0.346753951508577	3.73065856101875	0.000190979903034806	0.00480746434484641
AT1G17180	1396.23669755151	1.46854653249772	0.3246930812359	4.52287596307225	6.10049935539206e-06	0.000268739705978677
AT1G17400	142.148968517451	1.03531835426331	0.320027846195484	3.23508834175292	0.00121605099466692	0.0209620094692109
AT1G18193	514.428764016367	-1.19937171549859	0.196391181164186	-6.10705485036975	1.01486369732104e-09	1.24401697854223e-07
AT1G18197	1070.43481323305	-1.32816615670733	0.155744013881514	-8.52787932971708	1.49054903027619e-17	6.20019526134885e-15
AT1G18320	5684.31019374469	-1.06336875021608	0.184439034803322	-5.76542135643903	8.14540784278963e-09	8.20955521368115e-07
AT1G18350	468.846987218648	-1.88635159668623	0.467196819318949	-4.03759511769802	5.40019514457282e-05	0.00171280689497988
